Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,8.474502511102824e-5
US National,Season onset,Bin,week,41,42,8.7883954521718e-5
US National,Season onset,Bin,week,42,43,8.790413713505208e-5
US National,Season onset,Bin,week,43,44,8.790567367090517e-5
US National,Season onset,Bin,week,44,45,8.790699163264253e-5
US National,Season onset,Bin,week,45,46,2.615276760907725e-4
US National,Season onset,Bin,week,46,47,0.03301062854378112
US National,Season onset,Bin,week,47,48,0.4688760300251008
US National,Season onset,Bin,week,48,49,0.04831622524240945
US National,Season onset,Bin,week,49,50,0.40413960775586527
US National,Season onset,Bin,week,50,51,0.03740256160505674
US National,Season onset,Bin,week,51,52,0.00544318757937183
US National,Season onset,Bin,week,52,53,2.716495231056093e-4
US National,Season onset,Bin,week,1,2,8.805792752909745e-5
US National,Season onset,Bin,week,2,3,8.79878675089515e-5
US National,Season onset,Bin,week,3,4,8.798990966909801e-5
US National,Season onset,Bin,week,4,5,8.799728258035711e-5
US National,Season onset,Bin,week,5,6,8.799752876471142e-5
US National,Season onset,Bin,week,6,7,8.79808127853128e-5
US National,Season onset,Bin,week,7,8,8.805473106338941e-5
US National,Season onset,Bin,week,8,9,8.80190885067596e-5
US National,Season onset,Bin,week,9,10,8.797426866714567e-5
US National,Season onset,Bin,week,10,11,8.796585813192705e-5
US National,Season onset,Bin,week,11,12,8.795980083920654e-5
US National,Season onset,Bin,week,12,13,8.795989244438122e-5
US National,Season onset,Bin,week,13,14,8.793634071600385e-5
US National,Season onset,Bin,week,14,15,8.804790618100306e-5
US National,Season onset,Bin,week,15,16,8.792375801219096e-5
US National,Season onset,Bin,week,16,17,8.791077879826187e-5
US National,Season onset,Bin,week,17,18,8.789568068547965e-5
US National,Season onset,Bin,week,18,19,8.787905680065639e-5
US National,Season onset,Bin,week,19,20,8.787529944370278e-5
US National,Season onset,Bin,week,20,21,8.285109804174403e-5
US National,Season onset,Bin,week,none,none,8.797137997771393e-5
US National,Season peak week,Point,week,NA,NA,7
